id;nombre
631;ISNOS (SAN JOSE DE ISNOS)
632;LA ARGENTINA
633;LA PLATA
634;NATAGA
635;OPORAPA
636;PAICOL
637;PALERMO
638;PALESTINA
639;PITAL
640;PITALITO
641;RIVERA
642;SALADOBLANCO
643;SAN AGUSTIN
644;SANTA MARIA
645;SUAZA
646;TARQUI
647;TESALIA
648;TELLO
649;TERUEL
650;TIMANA
651;VILLAVIEJA
652;YAGUARA
653;RIOHACHA
654;BARRANCAS
655;DIBULLA
656;DISTRACCION
657;EL MOLINO
658;FONSECA
659;HATONUEVO
660;LA JAGUA DEL PILAR
661;MAICAO
662;MANAURE
663;SAN JUAN DEL CESAR
664;URIBIA
665;URUMITA
666;VILLANUEVA
667;SANTA MARTA (DISTRITO TURISTICO CULTURAL E HISTORICO DE SANTA MARTA)
668;ALGARROBO
669;ARACATACA
670;ARIGUANI (EL DIFICIL)
671;CERRO SAN ANTONIO
672;CHIVOLO
673;CIENAGA
674;CONCORDIA
675;EL BANCO
676;EL PIÑON
677;EL RETEN
678;FUNDACION
679;GUAMAL
680;PEDRAZA
681;PIJIÑO DEL CARMEN (PIJIÑO)
682;PIVIJAY
683;PLATO
684;PUEBLOVIEJO
685;REMOLINO
686;SABANAS DE SAN ANGEL
687;SALAMINA
688;SAN SEBASTIAN DE BUENAVISTA
689;SAN ZENON
690;SANTA ANA
691;SITIONUEVO
692;TENERIFE
693;VILLAVICENCIO
694;ACACIAS
695;BARRANCA DE UPIA
696;CABUYARO
697;CASTILLA LA NUEVA
698;SAN LUIS DE CUBARRAL
699;CUMARAL
700;EL CALVARIO
701;EL CASTILLO
702;EL DORADO
703;FUENTE DE ORO
704;GRANADA
705;GUAMAL
706;MAPIRIPAN
707;MESETAS
708;LA MACARENA
709;LA URIBE
710;LEJANIAS
711;PUERTO CONCORDIA
712;PUERTO GAITAN
713;PUERTO LOPEZ
714;PUERTO LLERAS
715;PUERTO RICO
716;RESTREPO
717;SAN CARLOS DE GUAROA
718;SAN JUAN DE ARAMA
719;SAN JUANITO
720;SAN MARTIN
721;VISTAHERMOSA
722;PASTO (SAN JUAN DE PASTO)
723;ALBAN (SAN JOSE)
724;ALDANA
725;ANCUYA
726;ARBOLEDA (BERRUECOS)
727;BARBACOAS
728;BELEN
729;BUESACO
730;COLON (GENOVA)
731;CONSACA
732;CONTADERO
733;CORDOBA
734;CUASPUD (CARLOSAMA)
735;CUMBAL
736;CUMBITARA
737;CHACHAGUI
738;EL CHARCO
739;EL PEÑOL
740;EL ROSARIO
741;EL TABLON
742;EL TAMBO
743;FUNES
744;GUACHUCAL
745;GUAITARILLA
746;GUALMATAN
747;ILES
748;IMUES
749;IPIALES
750;LA CRUZ
751;LA FLORIDA
752;LA LLANADA
753;LA TOLA
754;LA UNION
755;LEIVA
756;LINARES
757;LOS ANDES (SOTOMAYOR)
758;MAGUI (PAYAN)
759;MALLAMA (PIEDRANCHA)
760;MOSQUERA
761;OLAYA HERRERA (BOCAS DE SATINGA)
762;OSPINA
763;FRANCISCO PIZARRO (SALAHONDA)
764;POLICARPA
765;POTOSI
766;PROVIDENCIA
767;PUERRES
768;PUPIALES
769;RICAURTE
770;ROBERTO PAYAN (SAN JOSE)
771;SAMANIEGO
772;SANDONA
773;SAN BERNARDO
774;SAN LORENZO
775;SAN PABLO
776;SAN PEDRO DE CARTAGO
777;SANTA BARBARA (ISCUANDE)
778;SANTA CRUZ (GUACHAVES)
779;SAPUYES
780;TAMINANGO
781;TANGUA
782;TUMACO
783;TUQUERRES
784;YACUANQUER
785;CUCUTA
